Field Number,Source Name,Status,Detection (Y/N/M),Dirty Image: Brightest Pixel (Jy/beam),Dirty Image: 1sigma noise (Jy/beam),Dirty Image: Peak S/N,Self-calibrated image: Peak pixel,Self-calibrated image: 1sigma rms,Self-calibrated image: Peak S/N,Notes/Comments
37,183205.2-022111,Protostellar,Y,2.23E-03,1.10E-04,20.26,2.85E-03,9.23E-05,30.88,1 bright puffy source near center
38,183216.1-023449,Protostellar,Y,3.70E-03,8.63E-05,42.87,4.03E-03,6.30E-05,63.97,1 bright compact source near center; another dim source to 4 o'clock
,183226.8-021229,,N,,,,,,,
39,183228.8-015221,Protostellar,Y,1.02E-02,1.35E-04,75.30,1.04E-02,5.92E-05,175.67,1 bright compact source near center
40,183229.0-015242,Prestellar,Y,6.53E-03,1.12E-04,58.60,6.79E-03,6.89E-05,98.53,1 bright compact source near top edge
,183236.3-014841,,N,,,,,,,
,183247.6-015150,,N,,,,,,,
,183303.4-025106,,N,,,,,,,
,183305.8-025200,,N,,,,,,,
,183629.9-023129,,N,,,,,,,
,183634.1-023210,,N,,,,,,,
41,183636.1-022144,Protostellar,Y,3.09E-03,1.28E-04,24.20,3.39E-03,7.81E-05,43.40,2 bright puffy (compact?) sources near center
42,183638.6-022344,Protostellar,Y,3.34E-03,8.22E-05,40.58,3.60E-03,6.33E-05,56.78,1 bright compact source near center
43,183640.3-023402,Protostellar,Y,2.51E-03,1.02E-04,24.52,3.49E-03,7.73E-05,45.19,1 bright puffy source near center; another dim elliptical source slightly above center
